inst,stim,mnist_index,cond,acc,rt,conf,sat,noise
0,5,9,1,0.43,7.45,5622.033958,3,High
1,5,9,1,0.44,5.82,15438.52582,3,High
2,5,9,1,0.91,4.84,18603.56212,3,High
3,5,9,1,0.6,4.75,25323.63486,3,High
4,5,9,1,0.45,5.81,16478.08855,3,High
5,5,9,1,0.1,7.37,15770.92736,3,High
6,5,9,1,0.95,4.03,31314.85068,3,High
7,5,9,1,0.98,3.41,58874.71922,3,High
8,5,9,1,0.04,5.64,14911.76043,3,High
9,5,9,1,0.99,4.14,43249.33215,3,High
10,5,9,1,0.12,6.03,17865.67342,3,High
11,5,9,1,0.04,5.5,19509.46219,3,High
12,5,9,1,0.02,5.35,14290.55484,3,High
13,5,9,1,0.78,6.31,15432.25518,3,High
14,5,9,1,0.79,6.64,14198.95611,3,High
15,5,9,1,0.6,4.9,24533.76617,3,High
16,5,9,1,0.65,4.84,24571.18635,3,High
17,5,9,1,0.51,5.47,19462.07906,3,High
18,5,9,1,0.97,4.4,27652.62711,3,High
19,5,9,1,0,5.97,19076.53182,3,High
20,5,9,1,0.32,4.77,10619.21657,3,High
21,5,9,1,0.67,4.66,14236.21549,3,High
22,5,9,1,0.71,4.78,11177.7619,3,High
23,5,9,1,0.05,7.62,8738.460791,3,High
24,5,9,1,0,6.49,13387.52326,3,High
25,5,9,1,0.06,7.39,8638.711865,3,High
26,5,9,1,0.07,7.39,8947.950076,3,High
27,5,9,1,0.99,4.52,16568.16979,3,High
28,5,9,1,0.05,5.7,15445.87634,3,High
29,5,9,1,0,4.71,34426.33891,3,High
30,5,9,1,0,4.38,33826.5259,3,High
31,5,9,1,0,7.19,15464.69426,3,High
32,5,9,1,0.02,5.16,17705.36416,3,High
33,5,9,1,1,3.82,31879.73781,3,High
34,5,9,1,0.11,6.33,15030.56021,3,High
35,5,9,1,0.01,5.14,27092.34826,3,High
36,5,9,1,0.11,6.14,16286.94703,3,High
37,5,9,1,0.97,4.78,22492.65105,3,High
38,5,9,1,0.49,5.69,21332.55305,3,High
39,5,9,1,0.02,5.29,21024.10016,3,High
40,5,9,1,1,3.07,36521.76619,3,High
41,5,9,1,0,4.85,23938.00578,3,High
42,5,9,1,0,4.66,12169.95177,3,High
43,5,9,1,0,5.08,15454.03521,3,High
44,5,9,1,0.11,7.09,9118.467441,3,High
45,5,9,1,0.22,5.22,14596.1315,3,High
46,5,9,1,0.11,7.46,12779.67882,3,High
47,5,9,1,0,5.94,15730.91268,3,High
48,5,9,1,0.24,6,13448.15395,3,High
49,5,9,1,0.82,4.97,16050.24302,3,High
50,5,9,1,0.82,5.07,17866.52954,3,High
51,5,9,1,0.73,5.97,16234.23584,3,High
52,5,9,1,0.24,4.82,18597.06016,3,High
53,5,9,1,0.22,4.59,23541.23777,3,High
54,5,9,1,0.08,5.85,10271.76056,3,High
55,5,9,1,0.91,4.76,18480.11701,3,High
