subj,stim,mnist_index,cond,acc,rt,conf,conf_rt,sat,noise
1,5,9,1,0.5,0.646842521,4,0.153582938,speed focus,High
3,5,9,1,0,0.831068854,3,0.191706083,speed focus,High
5,5,9,1,0,1.04700327,3,0.708685146,speed focus,High
6,5,9,1,0,0.833389792,4,0.122551937,speed focus,High
7,5,9,1,0,0.735340291,4,0.155708645,speed focus,High
8,5,9,1,0.5,0.894140167,4,0.161458313,speed focus,High
10,5,9,1,1,1.077287166,3.5,0.461036084,speed focus,High
11,5,9,1,0,1.3413245,3,3.58752375,speed focus,High
12,5,9,1,0.5,0.852992354,4,0.515439229,speed focus,High
13,5,9,1,0,0.734424375,4,0.223323354,speed focus,High
14,5,9,1,0,0.499015354,3.5,0.733183021,speed focus,High
15,5,9,1,0.5,0.434694354,3.5,0.350850833,speed focus,High
17,5,9,1,0.5,0.915051583,4,0.169989416,speed focus,High
18,5,9,1,0,0.715159272,4,0.582855187,speed focus,High
19,5,9,1,0.5,1.1205545,3,0.560662563,speed focus,High
20,5,9,1,0.5,0.882736083,2,0.680061146,speed focus,High
21,5,9,1,0,0.663570396,1.5,0.700946083,speed focus,High
22,5,9,1,1,1.120745521,3,0.316541145,speed focus,High
23,5,9,1,0,0.645998709,4,0.1060935,speed focus,High
24,5,9,1,0.5,1.232640833,4,0.423326313,speed focus,High
25,5,9,1,0.5,0.859383396,3,1.542270417,speed focus,High
26,5,9,1,0,1.574442187,1,0.274969937,speed focus,High
27,5,9,1,1,0.707324396,4,0.452147541,speed focus,High
28,5,9,1,1,1.239339103,2.5,0.808850896,speed focus,High
29,5,9,1,0.5,0.987606501,2.5,0.505046208,speed focus,High
30,5,9,1,0.5,1.174213125,3.5,0.56992,speed focus,High
31,5,9,1,0.5,0.746719896,3.5,0.33693525,speed focus,High
32,5,9,1,0.5,0.802449896,1.5,0.496225917,speed focus,High
33,5,9,1,0,0.989465917,2.5,0.462332396,speed focus,High
34,5,9,1,0,0.592602167,2.5,0.290665729,speed focus,High
35,5,9,1,0.5,0.875285958,4,0.153079416,speed focus,High
36,5,9,1,1,0.824624625,4,0.282043333,speed focus,High
37,5,9,1,0,1.007268958,3,0.170566041,speed focus,High
38,5,9,1,0,0.798253624,4,0.284660729,speed focus,High
39,5,9,1,0,1.063582021,1.5,1.091722438,speed focus,High
40,5,9,1,0,1.120504354,2.5,0.865016354,speed focus,High
41,5,9,1,1,0.76253375,4,0.281925709,speed focus,High
42,5,9,1,1,1.274466333,4,0.123627042,speed focus,High
43,5,9,1,0,0.778039729,4,0.211786042,speed focus,High
44,5,9,1,0.5,0.990844896,3,0.153277354,speed focus,High
45,5,9,1,0.5,0.747726354,2.5,0.288714917,speed focus,High
46,5,9,1,0.5,1.300616521,2.5,0.570831916,speed focus,High
47,5,9,1,0,0.993131812,2.5,0.351024666,speed focus,High
48,5,9,1,0,0.898056104,3,0.257822583,speed focus,High
49,5,9,1,0.5,0.649682917,4,0.136810771,speed focus,High
50,5,9,1,0.5,0.82022148,4,0.214193437,speed focus,High
52,5,9,1,0.5,0.584500687,4,1.005538396,speed focus,High
53,5,9,1,0,0.810486229,2.5,0.585961478,speed focus,High
54,5,9,1,0,0.925072,2.5,0.369889667,speed focus,High
55,5,9,1,0,1.271404834,1.5,1.497890834,speed focus,High
56,5,9,1,1,0.767158979,4,0.078452834,speed focus,High
57,5,9,1,0,0.84593625,4,0.305859562,speed focus,High
58,5,9,1,0,0.657897062,2,0.384996,speed focus,High
